uniqid,isocntry,d63,qb7_2,class,trusttradm,trustwebonly,trustallm,trustnom,polorient,mediatrust
230000001,LT,1,2,WorkingClass,1,1,0,0,Center,TrustWebOnly
250000002,LV,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
60000003,CH,2,NA,LowerMiddle,0,1,0,0,Center,TrustWebOnly
60000004,CH,1,NA,WorkingClass,1,0,0,0,FarLeft,TrustTrad
240000005,LU,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
60000006,CH,2,NA,LowerMiddle,0,1,0,0,Center,TrustWebOnly
30000007,BE,4,2,UpperMiddleClass,1,1,1,0,Left,TrustAll
60000008,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
250000009,LV,2,1,LowerMiddle,1,1,1,0,Center,TrustAll
250000010,LV,2,1,LowerMiddle,1,1,0,0,Center,TrustWebOnly
250000011,LV,1,1,WorkingClass,0,0,0,1,Left,TrustNone
250000012,LV,4,1,UpperMiddleClass,1,0,0,0,Right,TrustTrad
250000013,LV,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
250000014,LV,2,1,LowerMiddle,0,0,0,1,Right,TrustNone
250000015,LV,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
250000016,LV,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
250000017,LV,1,1,WorkingClass,0,0,0,1,Center,TrustNone
250000018,LV,3,1,MiddleClass,1,1,0,0,Right,TrustWebOnly
250000019,LV,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
250000020,LV,3,1,MiddleClass,1,0,0,0,FarRight,TrustTrad
250000021,LV,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
250000022,LV,2,1,LowerMiddle,0,0,0,1,Center,TrustNone
250000023,LV,2,1,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
250000024,LV,3,1,MiddleClass,1,1,0,0,Left,TrustWebOnly
250000025,LV,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
250000026,LV,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
250000027,LV,1,1,WorkingClass,1,0,0,0,FarRight,TrustTrad
250000028,LV,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
250000029,LV,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
250000030,LV,3,1,MiddleClass,0,0,0,0,FarRight,Other
250000031,LV,1,1,WorkingClass,1,0,0,0,Right,TrustTrad
250000032,LV,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
350000033,SE,2,1,LowerMiddle,0,1,0,0,Left,TrustWebOnly
250000034,LV,3,1,MiddleClass,0,0,0,1,Center,TrustNone
250000035,LV,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
250000036,LV,3,1,MiddleClass,1,1,1,0,FarLeft,TrustAll
360000037,SI,2,2,LowerMiddle,1,0,0,0,FarRight,TrustTrad
250000038,LV,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
60000039,CH,5,NA,UpperClass,1,1,0,0,Left,TrustWebOnly
60000040,CH,2,NA,LowerMiddle,0,0,0,0,Refused/DNt,Other
250000041,LV,2,2,LowerMiddle,1,1,0,0,Center,TrustWebOnly
250000042,LV,2,1,LowerMiddle,1,1,0,0,Right,TrustWebOnly
360000043,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
360000044,SI,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
360000045,SI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000046,SI,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
360000047,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
360000048,SI,3,1,MiddleClass,1,1,1,0,Center,TrustAll
360000049,SI,2,1,LowerMiddle,0,0,0,1,FarRight,TrustNone
360000050,SI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
360000051,SI,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
360000052,SI,4,1,UpperMiddleClass,1,0,0,0,Center,TrustTrad
360000053,SI,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
360000054,SI,2,2,LowerMiddle,1,0,0,0,Center,TrustTrad
360000055,SI,1,2,WorkingClass,0,0,0,1,Center,TrustNone
360000056,SI,3,2,MiddleClass,0,1,0,0,Center,TrustWebOnly
360000057,SI,4,2,UpperMiddleClass,1,0,0,0,Center,TrustTrad
360000058,SI,3,1,MiddleClass,0,0,0,1,Center,TrustNone
360000059,SI,3,1,MiddleClass,1,0,0,0,FarLeft,TrustTrad
360000060,SI,2,2,LowerMiddle,1,0,0,0,Left,TrustTrad
360000061,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
360000062,SI,2,1,LowerMiddle,1,1,0,0,FarLeft,TrustWebOnly
360000063,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
360000064,SI,3,1,MiddleClass,1,0,0,0,FarLeft,TrustTrad
360000065,SI,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
360000066,SI,3,2,MiddleClass,1,0,0,0,FarLeft,TrustTrad
360000067,SI,1,1,WorkingClass,0,0,0,1,Center,TrustNone
360000068,SI,2,1,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
360000069,SI,3,2,MiddleClass,0,0,0,1,Center,TrustNone
360000070,SI,3,1,MiddleClass,0,0,0,1,Left,TrustNone
360000071,SI,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
360000072,SI,3,2,MiddleClass,1,0,0,0,FarLeft,TrustTrad
150000073,FI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
360000074,SI,1,1,WorkingClass,1,0,0,0,Left,TrustTrad
360000075,SI,4,1,UpperMiddleClass,0,1,0,0,Right,TrustWebOnly
150000076,FI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000077,SI,4,1,UpperMiddleClass,0,0,0,1,Center,TrustNone
150000078,FI,3,1,MiddleClass,1,0,0,0,FarLeft,TrustTrad
360000079,SI,4,1,UpperMiddleClass,1,0,0,0,FarLeft,TrustTrad
360000080,SI,4,2,UpperMiddleClass,0,1,0,0,Center,TrustWebOnly
360000081,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
150000082,FI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
150000083,FI,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
150000084,FI,4,1,UpperMiddleClass,1,0,0,0,FarRight,TrustTrad
360000085,SI,3,1,MiddleClass,0,0,0,1,Right,TrustNone
150000086,FI,4,1,UpperMiddleClass,0,0,0,1,FarRight,TrustNone
150000087,FI,3,2,MiddleClass,0,0,0,1,Right,TrustNone
150000088,FI,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
150000089,FI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
150000090,FI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
360000091,SI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
150000092,FI,4,1,UpperMiddleClass,1,0,0,0,FarLeft,TrustTrad
150000093,FI,1,2,WorkingClass,0,0,0,1,Center,TrustNone
150000094,FI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
360000095,SI,2,2,LowerMiddle,1,0,0,0,Refused/DNt,TrustTrad
150000096,FI,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
150000097,FI,1,1,WorkingClass,1,1,1,0,Left,TrustAll
150000098,FI,4,1,UpperMiddleClass,1,1,1,0,Right,TrustAll
150000099,FI,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
150000100,FI,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
150000101,FI,3,1,MiddleClass,1,1,1,0,Right,TrustAll
360000102,SI,3,1,MiddleClass,0,0,0,1,Center,TrustNone
150000103,FI,2,1,LowerMiddle,1,1,1,0,Center,TrustAll
360000104,SI,4,1,UpperMiddleClass,0,1,0,0,Left,TrustWebOnly
150000105,FI,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
150000106,FI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
360000107,SI,2,1,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
360000108,SI,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
150000109,FI,5,1,UpperClass,1,0,0,0,FarRight,TrustTrad
150000110,FI,3,1,MiddleClass,1,0,0,0,FarRight,TrustTrad
150000111,FI,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
150000112,FI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
150000113,FI,4,2,UpperMiddleClass,1,0,0,0,Center,TrustTrad
360000114,SI,4,1,UpperMiddleClass,0,0,0,1,Left,TrustNone
150000115,FI,4,1,UpperMiddleClass,1,0,0,0,Center,TrustTrad
150000116,FI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
360000117,SI,3,1,MiddleClass,0,0,0,1,Right,TrustNone
360000118,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
150000119,FI,1,2,WorkingClass,1,0,0,0,Center,TrustTrad
150000120,FI,2,2,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
360000121,SI,3,1,MiddleClass,0,0,0,1,Center,TrustNone
150000122,FI,4,1,UpperMiddleClass,1,0,0,0,Right,TrustTrad
150000123,FI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
250000124,LV,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
150000125,FI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
150000126,FI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
150000127,FI,4,1,UpperMiddleClass,0,0,0,1,FarRight,TrustNone
360000128,SI,3,1,MiddleClass,1,0,0,0,FarLeft,TrustTrad
150000129,FI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
150000130,FI,4,1,UpperMiddleClass,1,1,1,0,Center,TrustAll
360000131,SI,4,1,UpperMiddleClass,0,0,0,0,FarRight,Other
150000132,FI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000133,SI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
150000134,FI,1,1,WorkingClass,0,1,0,0,FarRight,TrustWebOnly
150000135,FI,4,2,UpperMiddleClass,1,1,1,0,FarLeft,TrustAll
360000136,SI,1,2,WorkingClass,1,0,0,0,Center,TrustTrad
150000137,FI,4,1,UpperMiddleClass,1,0,0,0,FarRight,TrustTrad
360000138,SI,2,2,LowerMiddle,1,0,0,0,Center,TrustTrad
150000139,FI,3,2,MiddleClass,1,0,0,0,Right,TrustTrad
150000140,FI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
150000141,FI,3,1,MiddleClass,1,0,0,0,FarRight,TrustTrad
150000142,FI,4,1,UpperMiddleClass,1,0,0,0,Left,TrustTrad
360000143,SI,1,1,WorkingClass,1,0,0,0,FarLeft,TrustTrad
150000144,FI,4,1,UpperMiddleClass,1,0,0,0,Center,TrustTrad
360000145,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
150000146,FI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
360000147,SI,2,1,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
360000148,SI,1,1,WorkingClass,0,1,0,0,FarRight,TrustWebOnly
360000149,SI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000150,SI,5,2,UpperClass,1,0,0,0,FarLeft,TrustTrad
150000151,FI,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
360000152,SI,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
150000153,FI,1,2,WorkingClass,0,0,0,1,Center,TrustNone
150000154,FI,1,1,WorkingClass,1,0,0,0,Left,TrustTrad
360000155,SI,2,1,LowerMiddle,0,0,0,1,Right,TrustNone
150000156,FI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000157,SI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000158,SI,3,1,MiddleClass,0,1,0,0,FarLeft,TrustWebOnly
360000159,SI,2,1,LowerMiddle,0,0,0,1,FarRight,TrustNone
360000160,SI,4,1,UpperMiddleClass,1,0,0,0,Left,TrustTrad
360000161,SI,3,1,MiddleClass,0,0,0,1,Center,TrustNone
150000162,FI,3,1,MiddleClass,0,1,0,0,Right,TrustWebOnly
360000163,SI,4,2,UpperMiddleClass,0,0,0,1,Left,TrustNone
360000164,SI,2,2,LowerMiddle,1,1,1,0,FarLeft,TrustAll
150000165,FI,1,1,WorkingClass,1,1,0,0,Center,TrustWebOnly
230000166,LT,2,2,LowerMiddle,1,0,0,0,Center,TrustTrad
230000167,LT,3,2,MiddleClass,1,0,0,0,FarRight,TrustTrad
230000168,LT,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
150000169,FI,1,2,WorkingClass,1,0,0,0,FarLeft,TrustTrad
360000170,SI,3,1,MiddleClass,1,0,0,0,FarLeft,TrustTrad
360000171,SI,2,2,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
230000172,LT,1,1,WorkingClass,1,1,1,0,Left,TrustAll
360000173,SI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000174,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
360000175,SI,3,1,MiddleClass,0,0,0,1,Right,TrustNone
150000176,FI,4,2,UpperMiddleClass,1,0,0,0,Center,TrustTrad
360000177,SI,3,2,MiddleClass,0,0,0,1,FarRight,TrustNone
360000178,SI,3,2,MiddleClass,0,0,0,0,Right,Other
230000179,LT,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000180,SI,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
230000181,LT,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000182,SI,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
360000183,SI,2,1,LowerMiddle,1,1,1,0,Center,TrustAll
360000184,SI,1,1,WorkingClass,1,1,1,0,Center,TrustAll
150000185,FI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
250000186,LV,3,1,MiddleClass,0,0,0,1,Center,TrustNone
360000187,SI,3,1,MiddleClass,0,0,0,1,Center,TrustNone
360000188,SI,5,2,UpperClass,1,0,0,0,FarLeft,TrustTrad
360000189,SI,4,1,UpperMiddleClass,0,0,0,1,Right,TrustNone
360000190,SI,1,2,WorkingClass,1,0,0,0,FarLeft,TrustTrad
250000191,LV,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
360000192,SI,5,1,UpperClass,1,0,0,0,FarLeft,TrustTrad
230000193,LT,3,1,MiddleClass,0,0,0,1,FarLeft,TrustNone
230000194,LT,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
230000195,LT,3,1,MiddleClass,1,0,0,0,FarLeft,TrustTrad
360000196,SI,2,2,LowerMiddle,0,0,0,1,FarLeft,TrustNone
360000197,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
150000198,FI,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
360000199,SI,3,1,MiddleClass,0,0,0,1,Center,TrustNone
360000200,SI,2,1,LowerMiddle,0,0,0,0,Center,Other
360000201,SI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000202,SI,2,1,LowerMiddle,1,1,1,0,FarLeft,TrustAll
360000203,SI,2,2,LowerMiddle,1,0,0,0,Center,TrustTrad
360000204,SI,2,1,LowerMiddle,0,0,0,1,Right,TrustNone
230000205,LT,3,1,MiddleClass,0,1,0,0,FarLeft,TrustWebOnly
360000206,SI,1,1,WorkingClass,1,0,0,0,FarRight,TrustTrad
360000207,SI,1,1,WorkingClass,1,0,0,0,Left,TrustTrad
230000208,LT,2,1,LowerMiddle,1,0,0,0,FarRight,TrustTrad
150000209,FI,4,1,UpperMiddleClass,1,0,0,0,Right,TrustTrad
150000210,FI,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
230000211,LT,2,1,LowerMiddle,1,1,1,0,Center,TrustAll
190000212,IE,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
230000213,LT,3,2,MiddleClass,0,0,0,1,Center,TrustNone
360000214,SI,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
360000215,SI,3,1,MiddleClass,1,1,0,0,FarRight,TrustWebOnly
230000216,LT,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
360000217,SI,3,1,MiddleClass,0,0,0,1,Left,TrustNone
230000218,LT,3,1,MiddleClass,1,1,1,0,FarRight,TrustAll
150000219,FI,4,1,UpperMiddleClass,1,0,0,0,FarRight,TrustTrad
230000220,LT,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
230000221,LT,3,1,MiddleClass,0,0,0,1,Center,TrustNone
230000222,LT,4,1,UpperMiddleClass,1,0,0,0,Right,TrustTrad
360000223,SI,2,1,LowerMiddle,0,0,0,1,Left,TrustNone
230000224,LT,3,2,MiddleClass,1,0,0,0,FarRight,TrustTrad
250000225,LV,3,1,MiddleClass,1,1,1,0,Center,TrustAll
360000226,SI,3,1,MiddleClass,0,1,0,0,Center,TrustWebOnly
230000227,LT,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
230000228,LT,3,1,MiddleClass,1,0,0,0,FarLeft,TrustTrad
230000229,LT,3,1,MiddleClass,1,0,0,0,FarLeft,TrustTrad
360000230,SI,2,1,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
150000231,FI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
230000232,LT,3,1,MiddleClass,1,0,0,0,FarRight,TrustTrad
230000233,LT,2,1,LowerMiddle,0,0,0,1,Center,TrustNone
230000234,LT,3,1,MiddleClass,1,1,1,0,FarLeft,TrustAll
360000235,SI,3,1,MiddleClass,0,0,0,1,Center,TrustNone
250000236,LV,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
360000237,SI,3,1,MiddleClass,0,1,0,0,Right,TrustWebOnly
230000238,LT,3,1,MiddleClass,0,0,0,1,Center,TrustNone
230000239,LT,3,1,MiddleClass,1,1,1,0,Right,TrustAll
230000240,LT,3,1,MiddleClass,0,0,0,1,FarRight,TrustNone
360000241,SI,3,1,MiddleClass,0,0,0,0,Left,Other
230000242,LT,4,1,UpperMiddleClass,1,0,0,0,Right,TrustTrad
250000243,LV,2,1,LowerMiddle,0,1,0,0,Center,TrustWebOnly
360000244,SI,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
230000245,LT,2,1,LowerMiddle,1,1,1,0,Center,TrustAll
230000246,LT,1,1,WorkingClass,1,0,0,0,Right,TrustTrad
250000247,LV,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
360000248,SI,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
230000249,LT,3,2,MiddleClass,0,1,0,0,FarLeft,TrustWebOnly
360000250,SI,3,2,MiddleClass,1,0,0,0,FarLeft,TrustTrad
250000251,LV,3,1,MiddleClass,0,0,0,1,Center,TrustNone
360000252,SI,3,1,MiddleClass,0,0,0,0,Right,Other
250000253,LV,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
360000254,SI,2,1,LowerMiddle,0,0,0,1,Left,TrustNone
230000255,LT,2,1,LowerMiddle,0,1,0,0,Center,TrustWebOnly
360000256,SI,2,1,LowerMiddle,1,1,0,0,FarLeft,TrustWebOnly
360000257,SI,2,4,LowerMiddle,0,0,0,0,Refused/DNt,Other
250000258,LV,3,2,MiddleClass,0,0,0,1,Left,TrustNone
250000259,LV,1,1,WorkingClass,1,0,0,0,Right,TrustTrad
230000260,LT,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
230000261,LT,3,1,MiddleClass,1,1,1,0,Center,TrustAll
360000262,SI,1,1,WorkingClass,0,1,0,0,FarRight,TrustWebOnly
360000263,SI,2,2,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
240000264,LU,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
150000265,FI,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
360000266,SI,4,2,UpperMiddleClass,1,0,0,0,Center,TrustTrad
360000267,SI,3,1,MiddleClass,1,1,0,0,Center,TrustWebOnly
150000268,FI,2,1,LowerMiddle,0,0,0,1,Right,TrustNone
230000269,LT,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
230000270,LT,1,2,WorkingClass,0,1,0,0,Left,TrustWebOnly
360000271,SI,2,1,LowerMiddle,1,1,0,0,FarRight,TrustWebOnly
360000272,SI,3,2,MiddleClass,1,0,0,0,FarLeft,TrustTrad
150000273,FI,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
230000274,LT,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
150000275,FI,4,1,UpperMiddleClass,1,0,0,0,Right,TrustTrad
230000276,LT,3,1,MiddleClass,0,1,0,0,FarRight,TrustWebOnly
230000277,LT,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
230000278,LT,4,1,UpperMiddleClass,1,1,1,0,FarRight,TrustAll
360000279,SI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
150000280,FI,3,2,MiddleClass,1,0,0,0,FarLeft,TrustTrad
360000281,SI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
30000282,BE,4,1,UpperMiddleClass,1,0,0,0,Center,TrustTrad
250000283,LV,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
360000284,SI,3,1,MiddleClass,1,1,0,0,Right,TrustWebOnly
150000285,FI,3,2,MiddleClass,1,0,0,0,FarLeft,TrustTrad
360000286,SI,3,1,MiddleClass,0,0,0,1,Left,TrustNone
150000287,FI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
230000288,LT,1,1,WorkingClass,1,0,0,0,Left,TrustTrad
230000289,LT,2,1,LowerMiddle,1,1,1,0,Center,TrustAll
230000290,LT,3,1,MiddleClass,1,0,0,0,FarRight,TrustTrad
250000291,LV,1,2,WorkingClass,0,1,0,0,Center,TrustWebOnly
240000292,LU,3,2,MiddleClass,1,0,0,0,Right,TrustTrad
230000293,LT,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
360000294,SI,2,1,LowerMiddle,0,0,0,1,FarRight,TrustNone
360000295,SI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
240000296,LU,3,2,MiddleClass,1,0,0,0,FarLeft,TrustTrad
360000297,SI,3,1,MiddleClass,1,0,0,0,FarLeft,TrustTrad
150000298,FI,4,1,UpperMiddleClass,0,1,0,0,Right,TrustWebOnly
250000299,LV,3,1,MiddleClass,0,0,0,1,Center,TrustNone
150000300,FI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
230000301,LT,4,2,UpperMiddleClass,0,0,0,1,Center,TrustNone
150000302,FI,4,2,UpperMiddleClass,1,0,0,0,Right,TrustTrad
