,uniqid,d63,class,polorient,mediatrust,trustnom,trustallm,trustwebonly,trusttradm,qa6a_1,qa6a_2,qa6a_5,qa6a_3,qa6at,qa6a_4,d63,d15a,d1r2,d1,d11r1,d10,d1r1,d15a_r1,d11,d11r2,d15a_r2
0,320387826,3,MiddleClass,FarRight,Other,0,0,0,1,1,1,2,1,2,2,3,-1,1,9,3,1,9,1,59,3,1
1,394380111,4,WorkingClass,Center,TrustAll,0,0,0,1,1,1,2,2,2,1,4,3,2,8,2,1,3,1,81,3,2
2,139929284,1,MiddleClass,Center,TrustTrad,0,0,0,1,1,2,1,3,2,2,1,19,1,6,3,1,2,3,32,2,7
3,424648035,3,LowerMiddle,Left,TrustAll,0,0,0,1,1,1,2,1,3,1,3,10,3,5,4,2,3,2,95,5,2
4,478547108,3,WorkingClass,Center,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,15,2,7,3,2,3,2,48,4,7
5,180669540,3,MiddleClass,Center,Other,0,0,0,1,2,1,2,2,3,3,3,4,5,10,4,1,9,2,28,4,7
6,81292249,3,MiddleClass,Center,TrustTrad,0,0,0,1,3,2,2,2,2,2,3,15,3,7,4,2,3,2,40,5,4
7,202702241,3,MiddleClass,Left,TrustAll,0,0,0,1,2,1,2,1,2,3,3,3,2,10,4,1,2,1,26,5,3
8,121796180,3,MiddleClass,Left,TrustWebOnly,0,0,0,1,2,2,2,2,3,1,3,4,5,1,3,2,1,3,16,5,3
9,362691961,1,WorkingClass,Center,TrustTrad,0,0,0,1,1,2,1,1,3,1,1,4,1,4,3,2,2,1,71,5,7
10,87055996,1,WorkingClass,Refused/DNt,TrustNone,0,0,0,0,2,2,3,2,3,3,1,21,9,9,4,1,9,3,99,5,7
11,72018679,4,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,1,3,2,4,1,4,8,3,1,1,2,39,5,6
12,128180043,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,6,4,3,4,1,1,2,45,4,2
13,165082898,9,MiddleClass,Left,TrustNone,0,0,0,1,3,2,1,2,2,2,9,12,5,6,1,1,3,2,95,4,1
14,117049750,2,MiddleClass,Left,TrustTrad,1,0,0,0,2,3,2,3,2,2,2,13,4,6,3,2,1,3,57,1,5
15,396591215,3,LowerMiddle,Center,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,10,4,3,3,1,3,2,38,6,2
16,267433388,3,UpperMiddleClass,Center,TrustTrad,0,0,0,1,1,1,1,1,1,2,3,3,4,4,1,1,2,2,57,6,7
17,292822153,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,2,1,1,1,2,3,15,9,1,2,1,3,2,50,2,6
18,372228762,1,UpperMiddleClass,Center,TrustAll,0,0,0,1,2,2,2,2,2,1,1,0,2,4,2,1,1,2,23,3,1
19,-19440766,1,LowerMiddle,Left,TrustNone,0,0,0,1,3,2,3,1,1,3,1,13,2,6,4,1,9,3,91,5,6
20,489723535,3,MiddleClass,Left,TrustAll,0,0,0,1,1,1,1,1,2,1,3,1,2,9,4,1,2,1,24,5,2
21,234657433,1,UpperClass,Center,TrustNone,0,0,0,0,2,3,3,2,1,3,1,11,2,9,4,1,2,1,93,2,7
22,114887875,1,UpperClass,Center,TrustAll,0,0,0,0,3,2,1,1,2,1,1,3,4,9,4,2,2,1,78,4,1
23,284225001,3,LowerMiddle,FarRight,Other,0,0,0,1,2,3,2,2,3,1,3,4,2,5,2,1,2,2,71,2,6
24,487174027,3,UpperMiddleClass,Left,TrustAll,0,0,0,1,1,3,2,1,1,1,3,13,3,3,1,1,3,2,71,4,5
25,285157211,3,WorkingClass,Center,TrustAll,0,0,0,1,2,1,1,1,2,1,3,4,2,5,2,1,3,3,48,5,4
26,221065590,4,MiddleClass,Left,TrustAll,0,0,0,1,1,1,2,1,1,1,4,0,2,6,2,1,3,2,11,3,3
27,346023779,3,UpperMiddleClass,FarLeft,TrustAll,0,0,0,0,1,1,3,1,2,1,3,0,3,10,4,2,1,3,32,5,6
